name,weight
Bolat,0.001599363385
Sezen,0.0009812643595
Baygın,0.0004309012496
Güler,0.003303315915
Yalım,0.0005339870516
Atik,0.001218097
Sabuncu,0.0005979286866
Onbaşı,0.0003331573711
Dik,0.0005575970574
Ege,0.0008140956686
Aytekin,0.001342448393
Tavlı,0.0003413364759
Örge,0.0002604762232
Eldem,0.0003541232424
Köseoğlu,0.001308625164
Basmacı,0.0003688157864
Erdemçi,0.0003204333477
Şekeroğlu,0.0004167184895
Zileli,0.0002230092873
Boga,0.0007389698834
Ögel,0.0002993084156
Utku,0.0006038211021
Çatalbaş,0.0005081506757
Sevinç,0.001721095154
Asan,0.0009949721024
Karadağ,0.001859729608
Birge,0.0002179678232
Yaray,0.0003093196744
Toy,0.0009006720421
Akgün,0.002141934259
Utlu,0.0003577090992
Geçgel,0.0005449762191
Cağlı,0.0005968949822
Bel,0.0003311742739
Akkaş,0.0009557162863
Yalap,0.0002402500515
Tamer,0.0007588698426
Barlık,0.0003830525257
Nergis,0.0002984819757
Seven,0.001190612965
Karaca,0.002769331391
Öner,0.001759256197
Evcil,0.0004395097201
Bezgin,0.0003503832221
Bitim,0.0002246646366
Menekşe,0.0006882586327
Çıdam,0.0002135794003
Bayer,0.000648529782
Ulukan,0.0003598892229
Sarıgül,0.0009286242747
Şafak,0.001019011871
Kılıçlı,0.0003820839969
Kuzu,0.001256036421
Tutar,0.0008574922623
Demir,0.006180048116
Çokan,0.0003177237761
Erişen,0.0003982287603
Maraşlı,0.000428025347
Günel,0.0008121209957
Taşkın,0.001869708996
Akıncı,0.001451518754
Çelikten,0.0005356805422
Semercioğlu,0.0003107803035
Yançı,0.0002327648658
Yoloğlu,0.0002441595768
Taşar,0.0007468391509
Âdem,0.0003021831566
İnal,0.001214170047
Gürsel,0.0005999907528
Almas,0.0003505007019
Şahan,0.001443982925
Tulay,0.0003131557289
Acu,0.0003747951772
Güner,0.001933128173
Tulgar,0.0003251524212
Küçük,0.002486855037
Başkır,0.0002571356266
Açar,0.003509303422
Eğri,0.0004076289886
Başkal,0.000301910551
Bakaç,0.0003516733405
Çangal,0.0002065234447
Buga,0.0003700416468
Terzioğlu,0.0007259862477
Tın,0.0002521233857
Beki,0.0003200476706
Göksel,0.0005989606071
Karaaslan,0.001302507555
Batır,0.0004685269242
Durak,0.00151331173
Gürer,0.0007252486584
Yurdakul,0.001031220851
Yakan,0.000474377734
Deli,0.0006750315285
Uzer,0.0007074904013
Yücesoy,0.0005034296476
Koca,0.002056364394
Torlak,0.0005122659766
Çevrim,0.0002529385297
Atan,0.0007253054227
Soykan,0.0006167731626
Bıçak,0.0007116099932
Tutun,0.0002798303005
Avcıoğlu,0.0006040937691
Özyiğit,0.0005436147219
Şenyurt,0.0005319787032
Balıkçı,0.0009004891831
Uçar,0.002589337718
Sarp,0.0005166673117
Örs,0.0009724137077
Kavas,0.0006972915966
Yazıcı,0.002112438581
Önder,0.001567145311
Külünk,0.0002659506538
Demirkan,0.0008300711431
Cingil,0.0003102499613
Karakuş,0.002193122818
Ürgan,0.0002842097575
Barug,0.000208507385
Şimşek,0.00348122289
Tekin,0.002888949323
Büyük,0.001007717606
Saraç,0.001400827715
Mutlu,0.002481966515
Akel,0.0004096439736
Baydan,0.000337210679
Söyler,0.0007506880125
Demirağ,0.0004976722168
Akhan,0.0005849112768
Gürler,0.0009995956804
Yıldırım,0.005645560821
Günday,0.0004080327816
Atıcı,0.001094738988
Selek,0.0006389365635
Mumcu,0.0006939773418
Atılgan,0.0009619850349
Gökalp,0.001013299217
Çolak,0.002355026771
Yetek,0.0002174004439
Abış,0.000325784891
Aksoy,0.002856229471
Adal,0.0003326627051
Batu,0.0004701935047
Cetiz,0.0002324108505
Kekilli,0.000263774516
Gider,0.0006767979123
Müldür,0.0002540753378
Görmez,0.0007053340353
Azgın,0.0005315916125
Aydan,0.0003172050431
Ertik,0.000264553763
Akcan,0.001190059577
Bildik,0.0005836429458
Sürer,0.0006807403988
Bakırcıoğlu,0.0002407635897
Çatık,0.0002789461583
Körpe,0.0004974239806
Yavçın,0.0002053238792
Eşim,0.0003425404884
Çın,0.0009616426
Süleymanoğlu,0.0004443539752
Hakyemez,0.0002761276989
Şahinoğlu,0.0006552242974
Akkaya,0.002166283238
Özyer,0.000429273937
Tutgun,0.0002116430104
Selvi,0.0009993073335
Gürkan,0.001006245768
Gülerce,0.0002124196846
Ağış,0.0002156893513
Aclan,0.0002259437462
Toga,0.0002506494462
Gayır,0.0002179678232
Cengel,0.0006276247565
Dayar,0.0002842097575
Kalyoncu,0.0008119181936
Uğurlu,0.001445863446
Sezgin,0.001627457889
Sever,0.0013014008
Akay,0.001496459546
Artuç,0.0004430549631
Yöndem,0.0004517052429
Sevimli,0.0007803214936
Bakım,0.0002259437462
Öztekin,0.0009906594582
Dağ,0.001965086362
Burak,0.0006032071506
Kalkan,0.001838824976
Mansuroğlu,0.0004152339159
Dicle,0.0003588581837
Tüfekçi,0.001006491224
Göktaş,0.001479749314
Yorulmaz,0.001146467472
Tuna,0.00163794764
Turan,0.003094820114
Ekim,0.0005825132222
Fazlıoğlu,0.0003680335675
Keser,0.001381592386
Yaban,0.0002612653078
Tural,0.0007147273067
Şamlıoğlu,0.0002246646366
Atuk,0.0002400786279
Çetin,0.004145224116
Algın,0.0004594766974
Taşlı,0.0005515094088
Çil,0.001193445048
Alkaş,0.0003224825027
Ağıç,0.0002045202602
Altun,0.002384232377
Atağ,0.0002717694916
Kaşıkçı,0.000715072836
Karagülle,0.0005905153452
Dikeç,0.0002593674717
Öksüz,0.001534733764
Aktan,0.0009116216214
Akşit,0.0006926115356
Kubat,0.0005174635324
Özkaya,0.00153433133
Ayrıç,0.000268416066
Yarım,0.0003467216081
Akkoç,0.0009310152437
Semerci,0.0007358433724
Akbulut,0.002127992201
Barlas,0.0005963429404
Ger,0.0002470094589
Yergin,0.0002373190118
Babaoğlu,0.0005044916505
Yargıcı,0.000213386552
Yardım,0.0007848457444
Yetişgin,0.0002364500268
Değirmenci,0.00140979226
Özbek,0.001772846969
Elçi,0.0008746999082
Bacı,0.0002488361084
Bilge,0.0009050495748
Barık,0.0003188878403
Aykaç,0.0007810070734
Yazar,0.001045179409
Alpman,0.0002110586291
Alım,0.0005381342879
Özgür,0.001370522475
Birsen,0.0004042823076
Subaşı,0.001161132747
Verim,0.000353308496
Sümer,0.001096955555
Ekin,0.001039452139
Yalgın,0.0002885227468
Hocaoğlu,0.000648529782
Yapan,0.0003106478028
Cavlı,0.0003343908347
Yartaşı,0.0002045202602
Tözün,0.0002617376167
Bahşi,0.0004493292733
Asrak,0.0002355778363
Tez,0.0004004967136
Başa,0.0002954319173
Evcimen,0.0003753440063
Çöklü,0.0002601599193
Dayıoğlu,0.0004695801895
Bilgin,0.0019634725
Alak,0.0004488709142
Gümüşay,0.0003983321292
Yayla,0.001154875525
Diker,0.0006782562682
Koçoğlu,0.000805248198
Demirel,0.002500475591
Talay,0.0007709798032
Toğrul,0.0003961557178
Kaner,0.0002759785616
Erez,0.0005264553412
Özyol,0.0002671862036
Duvan,0.0003471962444
Gökhan,0.0006432392152
Açık,0.000862709685
Cabadak,0.0002124196846
Akış,0.0005660970558
Ağaya,0.0002509777364
Arca,0.0003269202532
Kınacı,0.000524339638
Yatkın,0.0004290820827
Koşar,0.0009719902379
Yumuş,0.0002067226955
Sunay,0.0003754536758
Özarslan,0.0006820696172
Çakmakçı,0.0007184043846
Adanır,0.0005235538746
Arığ,0.000303813653
Teker,0.0008780822191
Bukan,0.0002187220393
Çalın,0.0002470094589
Çoban,0.002727508768
Mataracı,0.0002952925298
Abay,0.0008530154708
Birdal,0.0005109784698
Buruk,0.000309718711
Yolçu,0.001111977682
Domurcuk,0.0002548842394
Özmert,0.0002647093371
Berberoğlu,0.0006738106349
Şanlı,0.001479331922
Taşgın,0.0004958489319
Atılmış,0.0003286785769
Özdoğan,0.001215627208
Durmaz,0.002108771421
Aybar,0.0005981352132
Ağırbaş,0.0005553776096
Bozlak,0.0003410951634
Yargı,0.0002929127929
Tokatlıoğlu,0.0002230092873
Esin,0.0006935619464
Güçlü,0.001483472798
Teoman,0.0002671862036
Dizdar,0.0004899184104
Ekşioğlu,0.0004158283814
Tuğlu,0.0003923966433
Demirbaş,0.001523290313
İbrahimoğlu,0.0003721495311
Biçim,0.0002451692003
Ersin,0.0006495446962
Kütükçü,0.0004946019295
Tunçkol,0.0002231938212
Bozoğlu,0.0006804379416
Başdaş,0.0003289289987
Kaya,0.00635731911
Akgöz,0.0006748485353
